file,face,valence,arousal,expression,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
aksjlkjl_0,0,-0.1,0.1,0,0.4281562268733978,0.31523972749710083,0.6499322652816772,0.358735054731369,0.16928774118423462,1.0,0.5205549597740173,0.009786856360733509,0.0,0.2802935540676117,0.3093922734260559,0.13574674725532532,0.44376468658447266,0.0,0.37720751762390137,0.22196510434150696,0.3574862480163574,0.0861702486872673,0.3212256133556366,0.5308173298835754
aksndlkn_0,0,0.0,0.0,0,0.3643926680088043,0.322286993265152,0.8479427099227905,0.3117305040359497,0.21195094287395477,1.0,0.5056972503662109,0.015306836925446987,0.0,0.22503681480884552,0.38555142283439636,0.3896055221557617,0.5513976216316223,1.0,0.5901780724525452,0.36778363585472107,0.543901801109314,0.08384963124990463,0.2939154803752899,0.8005164861679077
anavqmjd_0,0,-0.1,-0.1,0,0.4242071509361267,0.35607242584228516,0.16041947901248932,0.25504863262176514,0.28236666321754456,0.0,0.43926170468330383,0.28016144037246704,0.0,0.1393374800682068,0.45689624547958374,0.6150420904159546,0.5548134446144104,0.0,0.2907719016075134,0.52083420753479,0.21318623423576355,0.10879185050725937,0.5768148303031921,0.7787150740623474
aovjrrax_0,0,-0.2,-0.1,0,0.3478863537311554,0.36491796374320984,0.08305320888757706,0.4363600015640259,0.09601115435361862,0.0,0.11039931327104568,0.0007142794784158468,1.0,0.04251359403133392,0.19699716567993164,0.06714794039726257,0.5022566318511963,0.0,0.26643720269203186,0.5142698884010315,0.17309759557247162,0.12103365361690521,0.11348545551300049,0.05926918238401413
aptzlpuo_0,0,-0.1,-0.1,0,0.48935309052467346,0.4855248034000397,0.1382642239332199,0.5506041049957275,0.06382477283477783,0.0,0.10566864162683487,0.003552571637555957,0.0,0.030541636049747467,0.29242441058158875,0.08669471740722656,0.43964487314224243,0.0,0.670328676700592,0.275585800409317,0.0840429812669754,0.06235826760530472,0.03140318766236305,0.05381219461560249
axelgnme_0,0,0.0,-0.1,0,0.28418827056884766,0.19117471575737,0.16179320216178894,0.38797077536582947,0.5144049525260925,0.0,0.46919336915016174,0.041564710438251495,0.0,0.47995778918266296,0.36583518981933594,0.49381837248802185,0.546473503112793,1.0,0.32756367325782776,0.41952571272850037,0.466816782951355,0.15109984576702118,0.3374437987804413,0.22080206871032715
aywskztb_0,0,0.0,0.0,0,0.3845194876194,0.17715831100940704,0.29425880312919617,0.2703457176685333,0.1814504712820053,0.0,0.3839098811149597,0.037288859486579895,0.0,0.30951768159866333,0.5733324885368347,0.5583006739616394,0.4390825927257538,0.0,0.7349761724472046,0.38118109107017517,0.10607916861772537,0.09669346362352371,0.7489661574363708,0.459789514541626
balgskek_0,0,-0.1,-0.1,0,0.47286802530288696,0.3436802923679352,0.6743075251579285,0.3648538291454315,0.1664922535419464,0.0,0.28948885202407837,0.02871621400117874,0.0,0.2560158371925354,0.5836055874824524,0.1624378263950348,0.32993265986442566,0.0,0.5565524101257324,0.5014712810516357,0.136012002825737,0.1476687341928482,0.12392605096101761,0.2047843188047409
bbuwxuqm_0,0,0.0,0.0,0,0.39988768100738525,0.20024234056472778,0.46738508343696594,0.26519066095352173,0.32889243960380554,1.0,0.4163486659526825,0.10194115340709686,0.0,0.20341353118419647,0.613583505153656,0.07635974884033203,0.375578910112381,0.0,0.4908863604068756,0.4624362289905548,0.03578445687890053,0.15628544986248016,0.811530590057373,0.5796194076538086
bddhbpcn_0,0,0.0,-0.1,0,0.3272729516029358,0.36171141266822815,0.3961770236492157,0.29686298966407776,0.22818060219287872,1.0,0.3400096297264099,0.01599320024251938,0.0,0.11130692064762115,0.21730469167232513,0.0861191600561142,0.4774256944656372,0.0,0.27054619789123535,0.18492373824119568,0.7664968371391296,0.22604091465473175,0.5008998513221741,0.5769749879837036
